"TAXON","HYBRID_ZONE","CLASS","PARAMETERS","d","v","SP1","SP2","DISTANCE","AR1","AR2"
"Solea","aegyptiaca_senegalensis","MHC I","ALPHA",1,0.00725973552686381,"aegyptiaca","senegalensis",9.6,29.615,26.427
"Solea","aegyptiaca_senegalensis","MHC I","BETA",-1,0.0104123281965848,"aegyptiaca","senegalensis",9.6,29.615,26.427
"Solea","aegyptiaca_senegalensis","MHC I","SD",0.223570313629213,0.000731205747605164,"aegyptiaca","senegalensis",9.6,29.615,26.427
"Triturus","anatolicus_ivanbureschi","MHC I","ALPHA",-0.685996582995871,0.0175292195960017,"anatolicus","ivanbureschi",4.31,81.24,65.743
"Triturus","anatolicus_ivanbureschi","MHC I","BETA",-0.264308640887216,0.0598501275510204,"anatolicus","ivanbureschi",4.31,81.24,65.743
"Triturus","anatolicus_ivanbureschi","MHC I","SD",0.0266102434708862,7.87432319866723e-06,"anatolicus","ivanbureschi",4.31,81.24,65.743
"Natrix","astreptophora_helvetica","MHC I","ALPHA",-0.121554926017178,0.0432258043523532,"astreptophora","helvetica",7.28,9,10.853
"Natrix","astreptophora_helvetica","MHC I","BETA",-1,0.0121449396084965,"astreptophora","helvetica",7.28,9,10.853
"Natrix","astreptophora_helvetica","MHC I","SD",0.163620996799496,0.000385841836734694,"astreptophora","helvetica",7.28,9,10.853
"Bombina","bombina_variegata","MHC I","ALPHA",0.0902849811685199,0.0458091029779259,"bombina","variegata",7.72,40.844,56.039
"Bombina","bombina_variegata","MHC I","BETA",-1,0.00213198927530196,"bombina","variegata",7.72,40.844,56.039
"Bombina","bombina_variegata","MHC I","SD",0.0750909670221413,7.52290712203249e-05,"bombina","variegata",7.72,40.844,56.039
"Anguis","colchica_fragilis","MHC I","ALPHA",-0.329481756983996,0.00446714910453978,"colchica","fragilis",4.1,74.55,70.959
"Anguis","colchica_fragilis","MHC I","BETA",-1,0.000162692628071637,"colchica","fragilis",4.1,74.55,70.959
"Anguis","colchica_fragilis","MHC I","SD",0.067716158312278,3.14972927946689e-05,"colchica","fragilis",4.1,74.55,70.959
"Triturus","cristatus_ivanbureschi","MHC I","ALPHA",-0.605489103736856,0.00443311380674719,"cristatus","ivanbureschi",7.28,93.733,65.743
"Triturus","cristatus_ivanbureschi","MHC I","BETA",-0.228465522344043,0.0191879034777176,"cristatus","ivanbureschi",7.28,93.733,65.743
"Triturus","cristatus_ivanbureschi","MHC I","SD",0.00890930889872591,5.85693461057892e-07,"cristatus","ivanbureschi",7.28,93.733,65.743
"Triturus","cristatus_macedonicus","MHC I","ALPHA",0.251708206142189,0.0151817602040816,"cristatus","macedonicus",5.4,93.733,67.759
"Triturus","cristatus_macedonicus","MHC I","BETA",-1,0.0120327467721783,"cristatus","macedonicus",5.4,93.733,67.759
"Triturus","cristatus_macedonicus","MHC I","SD",0.0350246300050877,1.46423365264473e-05,"cristatus","macedonicus",5.4,93.733,67.759
"Natrix","helvetica_natrix","MHC I","ALPHA",0.488349023504542,0.0426970533111204,"helvetica","natrix",13.74,10.853,11.223
"Natrix","helvetica_natrix","MHC I","BETA",-1,0.0104123281965848,"helvetica","natrix",13.74,10.853,11.223
"Natrix","helvetica_natrix","MHC I","SD",0.166558321477823,0.000218919200333195,"helvetica","natrix",13.74,10.853,11.223
"Triturus","ivanbureschi_macedonicus","MHC I","ALPHA",-0.780646785028061,0.00695862401082882,"ivanbureschi","macedonicus",7.28,65.743,67.759
